Tên học bổng,Link,Expected slot/Acceptance Rate (optional),Ranking of the scholarship (optional),"Loại học bổng (merit-based, need-based,..)",Đối tượng,Trường áp dụng,degree,eligible_nationalities,"Thông tin cụ thể học bổng (Range tiền, số lượng học bổng, giá trị học bổng)",Điều kiện Apply,deadlines,Insight of the scholarship
Graduate Assistantships at Wesleyan University 2026,https://www.st-andrews.ac.uk/study/scholarships/scholarships-catalogue/undergraduate-scholarships/international-excellence-scholarship/,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Wesleyan University,Master's and PhD,All Nationalities,"This partially funded scholarship for international students covers the following: | A tuition remission | A maximum stipend of $44,904 per academic year for Science and Mathematics teaching assistants | A maximum stipend of $38,160 for Master's Music teaching assistants | A maximum stipend of $31,320 for Ph.D. Music teaching assistants | Two thirds of the recipient's health insurance costs",You just need to be an international Master's and Ph.D. student or applicant of Wesleyan University.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Wesleyan University admission deadlines .
  Here are the deadlines: | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ rất toàn diện, bao trùm hầu hết các khoản chi phí du học. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
"Dean’s Scholarship (MBA, Specialized Masters) at Fordham University 2026",https://www.risd.edu/student-financial-services/graduate-aid,,,"Merit- based, need-based","Sinh viên quốc tế bậc Thạc sĩ, mọi quốc tịch.",Fordham University,Master's,All Nationalities,"This partially funded scholarship for international students covers the following: | $15,000-$25,000 for the Professional MBA and Executive MBA | $30,000-$90,000 for the Full-time MBA",incoming international students who enrolled full-time in an MBA program at Gabelli School of Business by the required deadlines,"The great news is that there is no specific deadline to apply for
  Dean’s Scholarship (MBA, Specialized Masters)!
  While there are no specific dates, it’s important to apply before the Fordham University admission deadlines .
  Here are the deadlines:","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Graduate Teaching Associates and Assistantships at San Francisco State University 2026,https://www.bc.edu/content/bc-web/academics/sites/gabelli-presidential-scholars-program.html,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch; có thành tích học tập nổi bật.",San Francisco State University,Master's and PhD,All Nationalities,This partially funded scholarship for international students covers stipends the amount of which is determined by the student's working hours and position.,Able to render at least 20 hours of work per year | Holders of post-baccalaureate GPA 3.0 for applicants of Graduate Teaching Associate (GTA) | Enrolled in at least 3 units if aiming for a Graduate Teaching Associate Position (GTA) | Supervised by a San Francisco State faculty member,"The great news is that there is no specific deadline to apply for
  Graduate Teaching Associates and Assistantships!
  While there are no specific dates, it’s important to apply before the San Francisco State University admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): November 30, 2025 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Global Scholarship at Kent State University 2026,https://www.smu.edu/Policy/2-Academic-Affairs/2-22-Graduate-Student-Employment-and-Other-Graduate-Aid,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",Kent State University,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers the following: | $15,000 for students admitted to Honor's College | $12,000 for students having a GPA of 3.70 and up | $10,000 for students having a GPA of 3.6 - 3.69 | $7,000 for students having a GPA of 3.5 - 3.59 | $4,300 for students having a GPA of 3.49 and below",F1 visa holders | Students entering the Kent campus,"The great news is that there is no specific deadline to apply for
  Global Scholarship!
  While there are no specific dates, it’s important to apply before the Kent State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall): June 1, 2026","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ rất toàn diện, bao trùm hầu hết các khoản chi phí du học. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
International Achievement Freshman Scholarship at Oklahoma State University 2026,http://bulletin.du.edu/graduate/tuition-fees-and-financial-aid-policies-and-procedures/financial-aid/graduate-assistantships/,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Oklahoma State University,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers up to $15,000 per year for up to 4 years depending on GPA, SAT/ACT score, and language proficiency test scores.",able to demonstrate at least a 3.0 GPA,"The great news is that there is no specific deadline to apply for
  International Achievement Freshman Scholarship!
  While there are no specific dates, it’s important to apply before the Oklahoma State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall - non-U.S. citizens): June 1, 2026","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Special Scholarship for Foreigners at Korea Aerospace University 2026,https://fordschool.umich.edu/mpp-mpa/funding,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Korea Aerospace University,Master's and PhD,All Nationalities,This partially funded scholarship for international students covers 50% of tuition fees .,International students with excellent academic and research attainments,Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Research Assistant Scholarship at Chosun University 2026,https://www3.chosun.ac.kr/global/2738/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGZ2xvYmFsJTJGNDI0JTJGMjYzNTY1JTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZzcmNoQ29sdW1uJTNEJTI2c3JjaFdyZCUzRCUyNmJic0NsU2VxJTNEJTI2YmJzT3BlbldyZFNlcSUzRCUyNnJnc0JnbmRlU3RyJTNEJTI2cmdzRW5kZGVTdHIlM0QlMjZpc1ZpZXdNaW5lJTNEZmFsc2UlMjZwYXNzd29yZCUzRCUyNg%3D%3D,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Chosun University,Master's and PhD,All Nationalities,This partially funded scholarship for international students covers 50% tuition fee.,a student with a recommendation from their professor,Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
International Student Scholarship at Hongik University 2026,https://grad.ajou.ac.kr/gs_eng/admission/foreigner01.do,,,Need-based,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Hongik University,Master's and PhD,All Nationalities,"This partially funded scholarship for international students covers KRW 1,000,000 financial aid.",You just need to be an international Master's and Ph.D. student or applicant of Hongik University.,Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Yếu tố quyết định là minh chứng tài chính (thu nhập gia đình, CSS Profile, sao kê...) chứ không phải điểm số tuyệt đối, nên hồ sơ tài chính cần chuẩn bị kỹ và trung thực. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
International Academic Award at Washington State University 2026,https://gradoffice.caltech.edu/financialsupport/nofinaid,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Washington State University,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers up to $4,000 per academic year disbursed towards tuition fees.","Students with a GPA of 3.30 to 3.59 to qualify for a minimum of $2,000 per academic year or a cumulative GPA of 3.60 or higher to qualify for $4,000 per academic year | Students enrolled in 12 -24 semester credits by the end of spring semester | Degree-seeking students paying tuition at non-resident rate","The great news is that there is no specific deadline to apply for
  International Academic Award!
  While there are no specific dates, it’s important to apply before the Washington State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall): June 1, 2026","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Hendrix Academic Scholarship at Hendrix College 2026,https://www.inu.ac.kr/grad_eng/12422/subview.do,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",Hendrix College,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers varying amounts, (the exact amount is based on GPA and standardized test scores such as SAT, ACT, TOEFL, or IELTS.",You just need to be an international Bachelor's student or applicant of Hendrix College.,"The great news is that there is no specific deadline to apply for
  Hendrix Academic Scholarship!
  While there are no specific dates, it’s important to apply before the Hendrix College admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Regular Decision): See page | Bachelor's Deadline (Early Decision I): November 15, 2025 | Bachelor's Deadline (Early Decision II): February 1, 2026","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Scholarship for Excellent Academic Performance at Kanagawa University 2026,https://www.hendrix.edu/admission/international.aspx?id=35098,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Kanagawa University,"Bachelor's, Master's, and PhD",All Nationalities,"This partially funded scholarship for international students covers the following: | 400,000 yen per year for Best Person awardees | 200,000 yen per year for Excellent Person awardees",Having excellent academic performance | Commended through the Kanagawa University Excellent Academic Achievement Award program,Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Exemption From Admission Fee at University of Yamanashi 2026,https://www.yamanashi.ac.jp/en/campuslife/2830#:~:text=University%20of%20Yamanashi%20Academic%20Support%20Project%20Financial%20Support%20Scholarship,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ, mọi quốc tịch.",University of Yamanashi,Master's,All Nationalities,"This partially funded scholarship for international students covers an admission fee worth 282,000 yen.",Having great character | Academically excellent | NOT chosen during the third-term additional recruitment period | NOT teachers from the Yamanashi Prefectural Board of Education,Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Tuition Fees Reduction System for Insponsored International Students at Kyoto University of Foreign Studies 2026,https://u.muroran-it.ac.jp/oia/en/inbound/admissions.html,,,Need-based,"Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Kyoto University of Foreign Studies,"Bachelor's, Master's, and PhD",All Nationalities,This partially funded scholarship for international students covers tuition fee reduction or exemption depending on student's needs.,self-funding incoming international students,Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Yếu tố quyết định là minh chứng tài chính (thu nhập gia đình, CSS Profile, sao kê...) chứ không phải điểm số tuyệt đối, nên hồ sơ tài chính cần chuẩn bị kỹ và trung thực. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Vice-Chancellor’s Scholarship for International Students at University of Otago 2026,"https://www.unoh.edu/offices/financial-aid/types_of_aid/scholarships_university.html#:~:text=UNIVERSITY%20SCHOLARSHIPS-,Honor%20Scholarships,-Students%20who%20are",,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",University of Otago,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers 10,000 NZD for tuition fees for 1 academic year.","Subjected to paying ""international"" fees | Applying for full-time study programs","The great news is that there is no specific deadline to apply for
  Vice-Chancellor’s Scholarship for International Students!
  While there are no specific dates, it’s important to apply before the University of Otago admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Semester 1 - February): November 15, 2025 (Different Bachelor's programs have different deadlines) | Bachelor's Deadline (Semester 2 - July): April 30, 2026 (Different Bachelor's programs have different deadlines)","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
UM Academic Achievement Scholarship at Maastricht University 2026,https://www.gih.se/english/education/tuition-and-scholarship,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ, mọi quốc tịch; có thành tích học tập nổi bật.",Maastricht University,Master's,All Nationalities,This partially funded scholarship for international students covers the difference between the institutional and statutory tuition fee.,A non-EU or EEA student | Have not previously studied in the Netherlands | Have completed or will complete your Bachelor's degree at the university with a minimum GPA of 8.0 | Not older than 35 years old on the listed date,"The great news is that there is no specific deadline to apply for
  UM Academic Achievement Scholarship!
  While there are no specific dates, it’s important to apply before the Maastricht University admission deadlines .
  Here are the deadlines: | Master's Deadline (September): June 1, 2026 (Different Master's programs have different deadlines)","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Commerce Academic Scholarship at University of Detroit Mercy 2026,https://www.ucd.ie/global/scholarships/globalexcellencescholarships/,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",University of Detroit Mercy,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers tuition waiver of up to $16,000.",You just need to be an international Bachelor's student or applicant of University of Detroit Mercy.,"The great news is that there is no specific deadline to apply for
  Commerce Academic Scholarship!
  While there are no specific dates, it’s important to apply before the University of Detroit Mercy admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Early Action): November 1, 2025 | Bachelor's Deadline (Regular Admission): March 1, 2026","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Inholland Knowledge Grant at Inholland University of Applied Sciences 2026,https://admissions.apu.ac.jp/costs_scholarships/before_enrollment/,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, công dân các quốc gia thuộc danh sách quy định (230 quốc gia, gồm Afghanistan, Aland Islands, Albania, Algeria, American Samoa, ...).",Inholland University of Applied Sciences,Bachelor's,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bermuda, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, British Virgin Islands, Brunei, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos Islands, Colombia, Comoros, Congo, Cook Islands, Costa Rica, Cote dIvoire, Cuba, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Falkland Islands, Faroe Islands, Fiji, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Ghana, Gibraltar, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Isle of Man, Israel, Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, Kosovo, Kuwait, Kyrgyzstan, Laos, Lebanon, Lesotho, Liberia, Libya, Macao, Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands Antilles, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, North Korea, North Macedonia, Northern Mariana Islands, Oman, Pakistan, Palau, Palestine State, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn Islands, Puerto Rico, Qatar, Reunion, Russia, Rwanda, Saint Barthelemy, Saint Helena, Saint Kitts and Nevis, Saint Lucia, Saint Martin, Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Solomon Islands, Somalia, South Africa, South Georgia and the South Sandwich Islands, South Korea, South Sudan, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen Islands, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, Thailand, Timor-Leste, Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, USA, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States Minor Outlying Islands, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Wallis and Futuna, Western Sahara, Yemen, Zambia, and Zimbabwe","This partially funded scholarship for international students covers the following: | 2,500 EUR for the first year of study | An additional 1,000 EUR for both the second and third year","Not citizens of the EEA, Surinam, or Switzerland | Paying institutional tuition fees | Commencing their program after the year 2018 | Not recipients of the Holland Scholarship",Không tìm thấy,"Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì giới hạn theo quốc gia/khu vực, lượng ứng viên cạnh tranh trực tiếp sẽ ít hơn đáng kể so với học bổng mở toàn cầu. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Leaders of Tomorrow Council at University of Central Oklahoma 2026,https://www.wright.edu/graduate-school/graduate-assistantships,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",University of Central Oklahoma,Bachelor's,All Nationalities,"This partially funded scholarship for international students covers a cash award of $8,250 per year for up to 4 years.",Students with a minimum high school GPA of 3.00 | Students with proof of involvement in at least one student organization | Students with proof of involvement in at least one community service activity,"The great news is that there is no specific deadline to apply for
  Leaders of Tomorrow Council!
  While there are no specific dates, it’s important to apply before the University of Central Oklahoma admission deadlines .
  Here are the deadlines: | Bachelor's Deadline: Accepts Application All Year","Học bổng/hỗ trợ tài chính có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
